account_id;wielkosckredytu;dataurodzenia;datazalozenia;datapozyczki;czastrwaniakredytu;platnosci;status;plec;disp_id;typkarty;stan_konta_przydzielanie_kredytu;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;wiek_pozyczka;staz_pozyczka;balance;Czy_problemy;duration;payments;iletransakcji;ilecredit;ilewithdraw;ilecreditcardwithdrawal;ilecreditincash;ilecollectionfromanotherbank;ileremittancetoanotherbank
2;80952;04.02.1945;26.02.1993;05.01.1994;24;3373;A;1;2;;67529,6;1204953;0;0;0;1;1;100;12541;0,29;0,43;167;85677;99107;48,91780822;0,857534247;67529,6;0;24;3373;54;22;29;0;2;10;5
19;30276;23.04.1939;07.04.1995;29.04.1996;12;2523;B;0;25;;57683,7;103347;87;16;7;1;7;67;9104;1,51;2,07;123;2299;2354;57,01643836;1,060273973;57683,7;1;12;2523;80;46;32;0;9;13;0
25;30276;09.02.1962;28.07.1996;08.12.1997;12;2523;A;1;31;;79509;228848;15;40;18;2;6;57,2;9893;4,09;4,72;96;5623;5887;35,82739726;1,364383562;79509;0;12;2523;164;51;107;0;36;0;43
37;318480;26.08.1952;18.08.1997;14.10.1998;60;5308;D;1;45;;15251,9;70646;94;14;3;1;4;58,4;8547;2,65;3,64;120;1563;1542;46,13424658;1,156164384;15251,9;1;60;5308;116;32;82;0;18;0;36
38;110736;30.01.1940;08.08.1997;19.04.1998;48;2307;C;0;46;;55991,1;51428;50;11;3;1;4;52,7;8402;3,13;3,98;120;999;1099;58,21643836;0,695890411;55991,1;0;48;2307;55;23;31;0;6;9;13
67;165960;13.06.1944;19.10.1994;02.05.1996;24;6915;A;0;78;;79760,4;93931;74;21;10;1;8;56,9;8427;1,12;1,54;107;1874;1913;51,88493151;1,534246575;79760,4;0;24;6915;125;37;84;0;1;18;28
97;102876;28.01.1942;05.05.1996;10.08.1997;12;8573;A;1;116;classic;34274,1;323870;0;0;0;1;1;100;10673;4,75;5,44;100;18782;18347;55,53150685;1,265753425;34274,1;0;12;8573;118;33;85;0;18;0;43
103;265320;21.09.1967;10.03.1996;06.12.1997;36;7370;D;1;124;;33700;105606;77;26;7;2;7;53;8254;2,79;3,76;97;2166;2325;30,20821918;1,742465753;33700;1;36;7370;83;42;35;0;22;0;0
105;352704;27.12.1950;10.07.1997;05.12.1998;48;7348;C;0;127;classic;19300;103347;87;16;7;1;7;67;9104;1,51;2,07;123;2299;2354;47,93972603;1,405479452;19300;0;48;7348;56;29;26;0;14;0;0
110;162576;26.01.1953;17.07.1996;08.09.1997;36;4516;C;1;132;classic;54132,2;159617;29;19;8;1;9;85,2;9198;3,33;4,28;131;5796;6132;44,61643836;1,145205479;54132,2;0;36;4516;84;28;56;0;15;0;17
132;88440;03.07.1945;11.05.1996;06.11.1996;12;7370;A;0;158;classic;200;128118;9;16;6;3;8;85,3;9317;6,49;7,07;97;6949;6872;51,34520548;0,490410959;200;0;12;7370;31;16;14;0;10;0;0
173;104808;30.11.1939;26.11.1993;31.05.1994;12;8734;A;1;210;;500;125832;151;41;2;3;5;48,3;8512;3,51;4,12;102;2247;2103;54,49863014;0,509589041;500;0;12;8734;30;12;18;0;7;0;8
176;27456;24.09.1967;12.08.1996;10.04.1997;12;2288;A;1;215;;800;161227;5;35;11;4;10;69,7;8678;5,93;5,57;102;4980;4595;29,54246575;0,660273973;800;0;12;2288;75;27;45;0;19;0;15
226;109344;25.10.1944;23.02.1997;12.07.1998;12;9112;C;0;272;classic;1000;285387;0;2;8;5;7;89,9;10177;6,63;7,75;81;9878;10108;53,71232877;1,380821918;1000;0;12;9112;93;43;50;1;27;0;13
276;160920;19.10.1971;08.12.1997;02.12.1998;36;4470;C;1;333;classic;700;85852;41;23;4;2;4;59,8;8965;7,08;8,23;104;2653;2822;27,12054795;0,983561644;700;0;36;4470;59;25;33;0;1;12;7
290;123696;27.08.1940;02.12.1993;03.11.1994;48;2577;A;1;352;;22488,1;124605;11;42;14;1;8;46;8772;4,69;4,98;126;2854;3158;54,18630137;0,920547945;22488,1;0;48;2577;61;22;36;0;12;0;12
303;112752;05.01.1956;25.07.1996;30.05.1998;36;3132;C;0;370;classic;41584,9;161227;5;35;11;4;10;69,7;8678;5,93;5,57;102;4980;4595;42,39726027;1,846575342;41584,9;0;36;3132;129;47;82;0;26;0;18
309;91248;08.01.1973;25.04.1997;25.11.1998;48;1901;C;0;376;;41396,1;177686;69;27;10;1;9;74,8;10045;1,42;1,71;135;6604;6295;25,87945205;1,58630137;41396,1;0;48;1901;99;39;60;0;21;0;0
314;66840;17.05.1939;26.01.1996;03.05.1997;24;2785;C;0;383;;29897;58796;22;16;7;1;5;51,9;9045;3,13;3,6;124;1845;1879;57,96164384;1,265753425;29897;0;24;2785;94;34;54;0;4;15;11
319;369000;30.06.1974;17.10.1995;11.07.1997;60;6150;C;0;389;;68030,8;162580;83;26;5;1;6;72,8;9538;1,51;1,81;111;6079;5410;23,03013699;1,731506849;68030,8;0;60;6150;171;49;120;0;29;0;55
330;331584;26.05.1973;24.11.1996;12.07.1998;48;6908;C;0;403;;37567,7;95907;87;25;5;2;7;59,1;8388;2,41;2,94;87;1658;1668;25,12876712;1,630136986;37567,7;0;48;6908;101;40;61;0;21;0;0
339;468060;19.10.1947;11.09.1996;25.12.1997;60;7801;C;0;414;classic;29471,6;112709;48;20;7;3;10;73,5;8369;1,79;2,31;117;2854;2618;50,18356164;1,287671233;29471,6;0;60;7801;112;32;72;0;1;16;22
344;100980;31.07.1965;01.12.1993;21.12.1994;60;1683;C;1;421;;31293,4;387570;0;0;0;1;1;100;9897;1,6;1,96;140;18721;18696;29,39178082;1,054794521;31293,4;0;60;1683;70;27;43;0;15;0;9
347;187224;08.10.1947;13.12.1993;01.05.1995;24;7801;B;1;424;;37600,7;114200;101;41;4;1;4;43,7;8403;5,74;5,72;105;2157;2718;47,56164384;1,380821918;37600,7;1;24;7801;88;38;40;0;21;0;0
349;42816;01.06.1937;08.06.1997;09.09.1998;12;3568;C;1;426;;12837,5;226122;32;50;7;4;4;62,6;8994;3,8;4,79;110;9672;9208;61,2739726;1,254794521;12837,5;0;12;3568;85;41;44;0;26;0;10
